Ogrenci_ID,Ogrenci_Adi,Bolum,Vize_Notu,Final_Notu,Odev_Notu,Devam_Orani_%
1001,Deniz Sahin,Yapay Zeka Muh.,60,51,58,63
1002,Gamze Sahin,Endustri Muh.,36,95,84,57
1003,Ahmet Kaya,Bilgisayar Muh.,54,84,33,90
1004,Burak Ozdemir,Yazilim Muh.,53,77,65,55
1005,Kaan Celik,Yazilim Muh.,68,55,49,68
1006,Kaan Dogan,Yapay Zeka Muh.,36,68,42,77
1007,Pinar Kilic,Endustri Muh.,58,25,88,89
1008,Elif Aslan,Yapay Zeka Muh.,95,57,76,91
1009,Burak Kaya,Yapay Zeka Muh.,54,57,40,69
1010,Pinar Sahin,Yazilim Muh.,60,78,76,65
1011,Merve Kilic,Bilgisayar Muh.,59,29,51,89
1012,Gamze Yildiz,Bilgisayar Muh.,84,68,64,95
1013,Ozan Ozdemir,Bilgisayar Muh.,66,27,59,57
1014,Ezgi Dogan,Yazilim Muh.,59,28,57,91
1015,Cem Dogan,Bilgisayar Muh.,88,70,88,64
1016,Emre Ozkan,Bilgisayar Muh.,96,88,63,92
1017,Fatma Acar,Yazilim Muh.,71,48,47,87
1018,Buse Kaya,Yapay Zeka Muh.,39,39,50,98
1019,Fatma Yimaz,Yapay Zeka Muh.,74,68,89,88
1020,Emre Ozdemir,Yapay Zeka Muh.,39,88,64,96
1021,Mustafa Sahin,Veri Bilimi,80,40,88,55
1022,Gamze Ozturk,Endustri Muh.,47,84,43,95
1023,Gizem Kurt,Endustri Muh.,50,39,77,65
1024,Irem Kurt,Yapay Zeka Muh.,66,82,32,62
1025,Selin Kilic,Veri Bilimi,55,27,60,91
1026,Mehmet Kaya,Yazilim Muh.,33,88,46,63
1027,Ece Koc,Endustri Muh.,46,53,97,93
1028,Fatma Aydin,Endustri Muh.,50,59,81,97
1029,Deniz Kilic,Yazilim Muh.,91,77,45,70
1030,Seda Kaya,Veri Bilimi,27,95,100,69
1031,Huseyin Yildiz,Yapay Zeka Muh.,34,100,37,69
1032,Mehmet Demir,Veri Bilimi,34,85,60,72
1033,Ece Koc,Bilgisayar Muh.,94,36,90,70
1034,Ezgi Koc,Yazilim Muh.,49,32,42,97
1035,Fatma Kilic,Yazilim Muh.,77,79,36,98
1036,Deniz Sahin,Yapay Zeka Muh.,76,63,43,70
1037,Burak Aydin,Endustri Muh.,82,37,84,66
1038,Emre Kara,Bilgisayar Muh.,34,76,100,61
1039,Ayse Ozdemir,Yapay Zeka Muh.,36,50,51,81
1040,Buse Koc,Bilgisayar Muh.,76,27,51,79
1041,Ahmet Aslan,Veri Bilimi,83,56,84,99
1042,Gamze Ozdemir,Yazilim Muh.,44,44,67,68
1043,Ayse Acar,Endustri Muh.,32,60,37,58
1044,Huseyin Koc,Endustri Muh.,92,40,37,87
1045,Mehmet Celik,Yapay Zeka Muh.,33,50,81,62
